part_num,color_id,part_name,part_cat_id,part_material,part_cat_name,color_name,rgb,is_trans,quantity,have_image,part_cat_group,part_cat_group_id
2343,0,Equipment Goblet,27,Plastic,Minifig Accessories,Black,05131D,f,63,t,Figures,0
30089a,0,Equipment Camera Handheld with Right-Aligned Viewfinder,27,Plastic,Minifig Accessories,Black,05131D,f,42,t,Figures,0
30162,0,Equipment Binoculars,27,Plastic,Minifig Accessories,Black,05131D,f,42,t,Figures,0
30191,0,Equipment Stretcher Holder,27,Rubber,Minifig Accessories,Black,05131D,f,5,t,Figures,0
30340,0,Equipment Flotation Ring [Life Preserver],27,Plastic,Minifig Accessories,Black,05131D,f,22,t,Figures,0
3962b,0,"Equipment Radio [Extended Handle, Compact Speaker Grille]",27,Plastic,Minifig Accessories,Black,05131D,f,394,t,Figures,0
4599a,0,Tap 1 x 1 with Hole in Spout,27,Plastic,Minifig Accessories,Black,05131D,f,231,t,Figures,0
59275,0,Minifig Footwear Flipper [Thin],27,Plastic,Minifig Accessories,Black,05131D,f,96,t,Figures,0
2447,0,Headwear Accessory Visor For Standard Helmet,27,Plastic,Minifig Accessories,Black,05131D,f,146,t,Figures,0
3900,0,Equipment Signal Paddle,27,Plastic,Minifig Accessories,Black,05131D,f,16,t,Figures,0
93555,0,Sports Ice Skate,27,Plastic,Minifig Accessories,Black,05131D,f,9,t,Figures,0
3837,0,Equipment Shovel [Round Stem End],27,Plastic,Minifig Accessories,Black,05131D,f,93,t,Figures,0
4332,0,Equipment Brush / Broom,27,Plastic,Minifig Accessories,Black,05131D,f,43,t,Figures,0
4341,0,Equipment Pot / Cauldron 3 x 3 x 1 & 3/4 with Handles,27,Plastic,Minifig Accessories,Black,05131D,f,54,t,Figures,0
64647,0,Headwear Accessory Plume / Feather Triple Point,27,Plastic,Minifig Accessories,Black,05131D,f,3,t,Figures,0
3835,0,Weapon Axe,27,Plastic,Minifig Accessories,Black,05131D,f,189,t,Figures,0
4006,0,Tool Screwdriver and Spanner / Wrench,27,Plastic,Minifig Accessories,Black,05131D,f,468,t,Figures,0
4522,0,Tool Hammer / Mallet Large,27,Plastic,Minifig Accessories,Black,05131D,f,292,t,Figures,0
3959,0,Weapon Gun / Torch (Space) [with Grooves],27,Plastic,Minifig Accessories,Black,05131D,f,208,t,Figures,0
4349,0,"Equipment, Weapon, Loudhailer / Blaster / Space Gun",27,Plastic,Minifig Accessories,Black,05131D,f,464,t,Figures,0
4360,0,Equipment Camera with Side Sight [aka Space Gun],27,Plastic,Minifig Accessories,Black,05131D,f,199,t,Figures,0
4479,0,Equipment Metal Detector,27,Plastic,Minifig Accessories,Black,05131D,f,22,t,Figures,0
30154,0,Equipment Sextant,27,Plastic,Minifig Accessories,Black,05131D,f,13,t,Figures,0
33009,0,Book 2 x 3 [Plain],27,Plastic,Minifig Accessories,Black,05131D,f,2,t,Figures,0
3849,0,Weapon Lance,27,Plastic,Minifig Accessories,Black,05131D,f,185,t,Figures,0
4528,0,Equipment Frying Pan,27,Plastic,Minifig Accessories,Black,05131D,f,170,t,Figures,0
11610,0,Food Ice Cream Cone,27,Plastic,Minifig Accessories,Black,05131D,f,94,t,Figures,0
4599b,0,Tap 1 x 1 without Hole in Spout,27,Plastic,Minifig Accessories,Black,05131D,f,569,t,Figures,0
58247,0,Weapon Gun / Blaster Short (Star Wars),27,Plastic,Minifig Accessories,Black,05131D,f,457,t,Figures,0
61190c,0,Headwear Accessory Visor (Star Wars Clone Trooper),27,Plastic,Minifig Accessories,Black,05131D,f,4,t,Figures,0
63586,0,"Headwear Accessory Rangefinder for Helmet, with Holes (Star Wars Clone Trooper)",27,Plastic,Minifig Accessories,Black,05131D,f,7,t,Figures,0
64567,0,Weapon Lightsaber Hilt with Bottom Ring,27,Plastic,Minifig Accessories,Black,05131D,f,591,t,Figures,0
64644,0,Equipment Telescope,27,Plastic,Minifig Accessories,Black,05131D,f,643,t,Figures,0
